"playerID","yearID","teamID","lgID","G","AB","R","H","2B","3B","HR","RBI","SB","SBp","BB","SO","IBB","HBP","GIDP","SH","SF","OBP","SLG","BA","Kp","BBp","RBIp","GIDPp","Rp","SBr"
"durhara01",1995,"CHA","AL",125,471,68,121,27,6,7,51,18,0.7826,31,83,2,6,8,5,4,0.30859375,0.3843,0.2569,0.16054158607350097,0.059961315280464215,0.1083,0.016985138004246284,0.1444,0.11764705882352941
"easleda01",1995,"CAL","AL",114,357,35,77,14,2,4,35,5,0.7143,32,47,1,6,11,6,4,0.2882205513784461,0.2997,0.2157,0.11604938271604938,0.07901234567901234,0.0980,0.03081232492997199,0.0980,0.044642857142857144
"edmonji01",1995,"CAL","AL",141,558,120,162,30,4,33,107,1,0.2000,51,130,4,5,10,1,5,0.35218093699515346,0.5358,0.2903,0.20967741935483872,0.08225806451612903,0.1918,0.017921146953405017,0.2151,0.005291005291005291
"eisenji01",1995,"PHI","NL",129,377,46,119,22,2,10,55,10,1.0000,38,44,4,1,7,2,5,0.3752969121140142,0.4642,0.3156,0.10401891252955082,0.08983451536643026,0.1459,0.01856763925729443,0.1220,0.06578947368421052
"eusebto01",1995,"HOU","NL",113,368,46,110,21,1,6,58,0,0.0000,31,59,1,3,12,1,5,0.3538083538083538,0.4103,0.2989,0.14460784313725492,0.07598039215686274,0.1576,0.03260869565217391,0.1250,0
"fernato01",1995,"NYA","AL",108,384,57,94,20,2,5,45,6,0.5000,42,40,4,4,14,3,5,0.3218390804597701,0.3464,0.2448,0.091324200913242,0.0958904109589041,0.1172,0.036458333333333336,0.1484,0.04316546762589928
"fieldce01",1995,"DET","AL",136,494,70,120,18,1,31,82,0,0.0000,75,116,8,5,17,0,4,0.3460207612456747,0.4717,0.2429,0.20069204152249134,0.12975778546712802,0.1660,0.03441295546558704,0.1417,0
"finlest01",1995,"SDN","NL",139,562,104,167,23,8,10,44,36,0.7500,59,62,5,3,8,4,2,0.365814696485623,0.4199,0.2972,0.09841269841269841,0.09365079365079365,0.0783,0.014234875444839857,0.1851,0.16071428571428573
"flahejo01",1995,"DET","AL",112,354,39,86,22,1,11,40,0,NULL,18,47,0,3,8,8,2,0.2838196286472148,0.4040,0.2429,0.12207792207792208,0.046753246753246755,0.1130,0.022598870056497175,0.1102,0
"fletcda01",1995,"MON","NL",110,350,42,100,21,1,11,45,0,0.0000,32,23,1,4,15,1,2,0.35051546391752575,0.4457,0.2857,0.05912596401028278,0.08226221079691516,0.1286,0.04285714285714286,0.1200,0
